"full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
"  8334 (1984 CF)",2.785,0.1012,10.14,93.17,53.65,2.503,3.07,4.65,24547,0,2655,,,13.25,7.837,,0.181,,,,,,S,
"  8450 Egorov (1977 QL1)",2.749,0.0888,4.88,342.84,35.18,2.504,2.99,4.56,22531,0,2749,,,13.27,11.191,,0.058,,,,,,C,
"  8513 (1991 PK11)",2.744,0.1773,6.83,313.23,131.75,2.257,3.23,4.54,17445,0,2531,,,13.13,12.973,,0.067,,,,,,D,
"  8516 Hyakkai (1991 TW1)",2.754,0.1630,5.86,51.42,347.45,2.306,3.20,4.57,17364,0,3665,,,13.36,,,,4.80153,,,,,S,
"  9970 (1992 ST1)",2.79,0.2083,7.54,314.98,334.09,2.209,3.37,4.66,24165,0,3111,,,12.74,20.035,,0.036,22.8654,,,,,Cb,
" 10473 Thirouin (1981 EL21)",2.717,0.0938,2.12,210.66,132.65,2.462,2.97,4.48,15626,0,2462,,,13.71,7.984,,0.114,3.749,,,,,K,
" 10504 Doga (1987 UF5)",2.763,0.1638,5.74,55.02,319.89,2.310,3.22,4.59,15771,0,2433,,,13.32,6.959,,0.210,2.951,,,,,Sl,
" 11785 Migaic (1973 AW3)",2.784,0.0660,7.71,65.46,84.21,2.600,2.97,4.64,17835,0,2672,,,12.89,15.113,,0.075,20.716,,,,,Xc,
" 11906 (1992 AE1)",2.741,0.1914,10.65,97.31,27.81,2.216,3.27,4.54,24460,0,2150,,,13.45,5.295,,0.334,,,,,,Sq,
" 12281 Chaumont (1990 WA5)",2.739,0.0155,6.35,119.03,139.76,2.696,2.78,4.53,13278,0,2893,,,12.88,15.985,,0.040,16.851,,,,,X,
" 17480 (1991 PE10)",2.791,0.1744,8.66,337.98,39.00,2.304,3.28,4.66,24325,0,1751,,,13.94,4.301,,0.263,,,,,,S,
" 20043 Ellenmacarthur (1993 EM)",1.97,0.0575,18.26,264.43,286.56,1.856,2.08,2.76,10503,0,968,,,15.76,,,,,,,,,U,
"405058 (2001 TX16)",3.574,0.5998,8.13,69.32,53.59,1.430,5.72,6.76,7468,0,1394,,,14.17,5.6,,0.181,4.8005,,,,,X,
